Price;Bedrooms;Floorplans;Address
$2,595;3 Beds;1 floorplan;2957-9 N. Milwaukee/3001 N. Central Park, Chicago IL
$2,650;;;3621 W Belmont Ave #4, Chicago IL
$2,600;;;3337 W Belmont Ave #1E, Chicago IL
$2,750;;;3136 N Elston Ave #3, Chicago IL
$3,200;;;2450 W Diversey Ave #1, Chicago IL
$2,700;;;3649 W Belmont Ave #3E, Chicago IL
$1,285;;;3115 N Monticello Ave #GDN, Chicago IL
$1,450;;;2807 N Francisco Ave #2, Chicago IL
$2,630;;;2904 W Belmont Ave #203, Chicago IL
$1,000;;;2956 N Elston Ave #GDN, Chicago IL
$1,010;;;3308 N Spaulding Ave #1U, Chicago IL
$2,095;;;2834 N Albany Ave #2836G, Chicago IL
$1,295;;;3046 N Whipple St #1, Chicago IL
$2,095;;;2834 N Albany Ave #G, Chicago IL
$995;;;3304 N Spaulding Ave #1K, Chicago IL
$1,025;;;3302 N Spaulding Ave #3E, Chicago IL
$995;;;3306 N Spaulding Ave #1N, Chicago IL
$1,025;;;3302 N Spaulding Ave #1G, Chicago IL
$1,675;;;2959 N Hamlin Ave #3A, Chicago IL
$1,675;;;2959 N Hamlin Ave #2A, Chicago IL
$1,400;;;3650 W George St #2F, Chicago IL
$1,675;;;2959 N Hamlin Ave #2B, Chicago IL
$1,595;;;2611 W George St #3F, Chicago IL
$1,550;;;2611 W George St #2F, Chicago IL
$1,450;;;3648 W Belmont Ave #2R, Chicago IL
$1,495;;;3943 W Addison St #1F, Chicago IL
$1,900;;;3805 W Roscoe St #1W, Chicago IL
$1,950;;;2953 N Milwaukee Ave #2, Chicago IL
$1,650;1 Bed;1 floorplan;2934 North Milwaukee, Chicago IL
$1,500;;;3141 N Springfield Ave #1, Chicago IL
$1,700;;;3141 N Springfield Ave #2, Chicago IL
$2,100;;;2920 West Nelson Street #3, Chicago IL
$1,000;;;N Kimball Ave #3, Chicago IL
$1,750;;;W School St & N Hamlin Ave, Chicago IL
$2,595;3 Beds;1 floorplan;3110 W. Belmont Ave., Chicago IL
$1,795+;3 Beds;1 floorplan;3001-07 N. Spaulding Ave./ 3242-48 W. Wellington Ave., Chicago IL
$1,495;3 Beds;1 floorplan;3856 W. Diversey, Chicago IL
$1,295+;1 - 2 Beds;5 floorplans;3000 N. Whipple, Chicago IL
$2,400+;4 Beds;2 floorplans;3049 W George St,, Chicago IL
$1,285;2 Beds;1 floorplan;3115 N Monticello, Chicago IL
$1,400;;;3014 North Gresham Avenue #2, Chicago IL
$1,600;;;2642 W George St #2, Chicago IL
$2,000;;;2819 N Richmond St #1, Chicago IL
$1,050;;;3129 N Richmond St #G, Chicago IL
$1,450;;;N Ridgeway Ave #1R, Chicago IL
$1,250+;1 Bed;1 floorplan;3563-73 W. Henderson St., Chicago IL
$2,000;;;3658 W Diversey Ave #2s, Chicago IL
$850;;;Kimball & Diversey/Milwaukee, Chicago IL
$1,800;;;2827 N Milwaukee Ave #1, Chicago IL
$1,850;;;2922 N Albany Ave, Chicago IL
$1,380+;Studio - 2 Beds;3 floorplans;The Field's Lofts, Chicago IL
$2,700;;;3028 W Roscoe St, Chicago IL
$1,500;;;N Albany Ave, Chicago IL
$1,450;;;3248 N Albany Ave #G, Chicago IL
$1,775;;;4100 W George St #2, Chicago IL
$1,775;;;3141 W Wellington Ave, Chicago IL
$1,500;;;3033 N Davlin Ct #1, Chicago IL
$1,350;;;N Spaulding Ave #2, Chicago IL
$1,550;;;2611 W George St #2f, Chicago IL
$1,595;;;2611 W George St #3f, Chicago IL
$1,125;1 Bed;1 floorplan;4303-09 N. Campbell 2474-76 W. Cullom, Chicago IL
$2,400;;;3227 N Albany Ave #1, Chicago IL
$1,350;2 Beds;1 floorplan;2839 N. Hamlin, Chicago IL
$1,700;;;3000 W George St, Chicago IL
$1,350;2 Beds;1 floorplan;2926 N. Ridgeway, Chicago IL
$1,495;2 Beds;1 floorplan;2823-27 N. Central Park, Chicago IL
$1,650;;;2833 N Albany Ave, Chicago IL
